SCH_ID,X1NCESID,W1MATHTCH,W1SCITCH,W3HSTRANS,X1SEX,X1RACE,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMQUINT,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1OCC_STEM1,X1PAR1OCC_STEM2,X1PAR2OCC_STEM1,X1PAR2OCC_STEM2,X1PAREDU,X1FAMINCOME,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT
-5,-5,0,128.771736,113.714858,1,6,0.4876,0.2303,46.3477,55.8121,4,0.9988,0.917,0.7101,0.1596,0.0724,0,-5,-7,-5,3,1,0.6,1.31,1.34,1.41,-1.5,-0.05,0.16
-5,-5,8.170211,0,5.831045,2,6,-0.0978,0.2646,38.738,49.7352,3,0.9868,0.6732,0.2706,0.0692,0.0538,-8,-5,-8,-5,-8,-8,0.6,1.31,0.55,0.96,-7,-7,-7
-5,-5,698.276928,0,454.453985,1,3,-1.0799,0.3143,24.8964,39.5401,1,0.6417,0.0914,0.0467,0.0414,0.0472,0,-5,-7,-5,5,4,-0.57,-7,-7,-7,0.1,0.25,1.7
-5,-5,135.852087,159.012428,128.303249,2,6,-0.0585,0.235,39.2968,50.1433,3,0.9888,0.6992,0.2939,0.072,0.0545,0,-5,0,-5,4,1,-0.57,0.27,0.22,0.86,1.27,1.42,1.64
-5,-5,0,298.867492,135.983259,1,5,0.047,0.2332,40.7517,51.2382,3,0.9927,0.761,0.3638,0.0811,0.0565,0,-5,0,-5,1,3,-0.57,-0.3,0.1,0.55,-1.5,-0.89,-1.82
-5,-5,0,0,106.501909,1,8,-2.199,0.4551,16.8842,27.9219,1,0.0267,0.0154,0.028,0.037,0.0462,-8,-5,-8,-5,-8,-8,-0.57,-7,-7,-7,-7,-7,-7
-5,-5,70.582867,74.789123,55.246771,1,8,-0.1184,0.2651,38.4412,49.5211,3,0.9857,0.659,0.259,0.0678,0.0535,0,-5,0,-5,4,4,0,-0.3,0.1,-0.24,-7,-7,-7
-5,-5,0,440.008395,311.591811,1,8,1.2081,0.2245,54.9729,63.2917,5,0.9999,0.9888,0.9762,0.5915,0.1725,0,-5,4,-5,7,5,0.6,-0.93,-0.56,0.19,-0.47,-0.48,0.16
-5,-5,661.245831,0,410.632169,2,6,1.6374,0.247,59.9342,67.7484,5,1,0.9969,0.9963,0.8539,0.3509,0,-5,0,-5,5,4,1.16,0.74,0.94,0.86,-7,-7,-7
-5,-5,271.544719,246.246626,0,2,3,-0.3454,0.2536,35.0404,47.1642,2,0.9654,0.4779,0.1588,0.0562,0.0507,0,-5,0,-5,2,5,0.63,0.9,0.1,-0.18,0.1,0.25,0.16
-5,-5,126.770532,0,104.577186,2,5,0.2807,0.2616,43.7857,53.6645,4,0.9972,0.8611,0.5468,0.112,0.063,0,-5,0,-5,4,13,0.6,0.27,1.34,0.85,-0.28,1.1,0.16
-5,-5,0,116.059751,76.978107,2,8,0.1812,0.2402,42.5192,52.6311,4,0.9958,0.824,0.4657,0.0966,0.0598,0,-5,0,-5,5,13,1.76,0.27,0.1,1.23,0.1,1.83,-0.6
-5,-5,101.938298,0,88.195249,2,8,-0.8057,0.234,28.2285,42.3864,2,0.8285,0.167,0.0667,0.0446,0.0479,0,-5,0,-5,3,13,-1.73,-1.74,-2.48,-1.98,-1.88,-1.2,-0.98
-5,-5,0,0,66.246165,2,8,-1.8453,0.3471,18.4854,31.5936,1,0.0951,0.0249,0.0299,0.0376,0.0464,-8,-5,-8,-5,-8,-8,-1.16,0.9,0.1,-0.48,-7,-7,-7
-5,-5,110.901855,0,62.20983,1,3,-0.4172,0.2915,33.9334,46.4191,2,0.9546,0.4166,0.1365,0.0536,0.0501,1,-5,0,-5,5,7,1.76,0.9,0.55,0.55,0.84,0.28,0.56
