SCH_ID,X1NCESID,W1MATHTCH,W1SCITCH,W3HSTRANS,X1SEX,X1RACE,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMQUINT,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1OCC_STEM1,X1PAR1OCC_STEM2,X1PAR2OCC_STEM1,X1PAR2OCC_STEM2,X1PAREDU,X1FAMINCOME,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT
-5,-5,477.230809,354.290391,360.771991,2,3,0.5914,0.268,47.6121,56.8894,4,0.9992,0.9366,0.7804,0.1945,0.0789,0,-5,0,-5,2,4,1.16,1.31,0.55,2.08,-7,-7,-7
-5,-5,0,0,30.995959,2,8,-0.0319,0.2343,39.6692,50.419,3,0.9899,0.7158,0.3105,0.0741,0.0549,1,-5,0,-5,2,9,0,0.9,0.95,-9,-7,-7,-7
-5,-5,86.880316,92.057788,73.293932,1,8,-0.729,0.3322,29.2734,43.1821,2,0.8651,0.2009,0.0755,0.0459,0.0482,-8,-5,-8,-5,-8,-8,-1.73,-0.3,-1.41,-1.01,-0.33,0.25,0.54
-5,-5,21.221654,27.159807,25.645625,2,5,1.0104,0.2512,52.6371,61.2397,5,0.9999,0.9801,0.9474,0.4372,0.1281,0,-5,0,-5,2,5,-0.57,-0.13,-0.75,-2.16,-1.93,-0.89,-0.34
-5,-5,245.963893,246.783285,125.411228,2,8,0.8667,0.241,50.9263,59.7482,5,0.9998,0.9701,0.91,0.3355,0.1059,0,-5,0,-5,4,7,0,-0.7,-0.58,-0.29,-0.33,-0.49,0.5
-5,-5,296.366287,346.891416,260.098947,2,8,-1.6077,0.3127,20.0251,34.0608,1,0.207,0.0357,0.0323,0.0383,0.0465,-8,-5,-8,-5,-8,-8,0,0.27,0.1,0.49,-0.89,0.25,-1.32
-5,-5,43.203334,25.505564,32.398203,2,8,0.3542,0.2701,44.7037,54.4271,4,0.9979,0.8839,0.6068,0.1261,0.0659,-8,-5,-8,-5,-8,-8,0.6,1.31,0.1,0.49,1.27,0.25,0.21
-5,-5,0,0,143.427186,2,8,1.324,0.2482,56.331,64.4948,5,1,0.992,0.9854,0.678,0.2083,1,-5,0,-5,5,8,-0.57,1.31,0.39,-0.71,0.71,1.22,1.32
-5,-5,188.882059,0,188.651106,1,8,-0.2581,0.2616,36.3733,48.071,3,0.9752,0.5517,0.1917,0.06,0.0517,-8,-5,-8,-5,-8,-8,-0.57,-7,-7,-7,-7,-7,-7
-5,-5,67.762078,55.053169,30.555816,2,2,-0.2025,0.2489,37.207,48.6478,3,0.9801,0.5964,0.2162,0.0628,0.0523,4,-5,0,-5,3,6,0,-1.33,-0.58,0.19,-0.52,-1.33,0.16
-5,-5,0,217.785895,194.706206,2,8,0.0479,0.2526,40.7636,51.2473,3,0.9927,0.7614,0.3644,0.0812,0.0565,4,-5,0,-5,2,3,0.6,0.27,1.62,-0.16,0.71,1.83,0.16
-5,-5,28.524069,32.407038,26.011582,1,3,0.3487,0.2845,44.636,54.3705,4,0.9979,0.8823,0.6024,0.125,0.0657,0,-5,-7,-5,3,2,1.76,-9,-9,-9,-9,-9,-9
-5,-5,1307.120582,0,950.4478,2,5,1.3201,0.2571,56.2861,64.4549,5,1,0.9919,0.9851,0.6752,0.2069,0,-5,0,-5,2,2,1.76,-7,-7,-7,-7,-7,-7
-5,-5,0,0,384.420422,2,8,0.6249,0.2585,48.0188,57.2377,4,0.9993,0.942,0.8008,0.2077,0.0814,0,-5,0,-5,4,5,0,-7,-7,-7,-7,-7,-7
-5,-5,0,45.160898,29.62025,2,5,0.0317,0.2472,40.5452,51.0798,3,0.9922,0.7527,0.353,0.0796,0.0562,0,-5,0,-5,2,5,-0.57,-1.56,-0.58,0.49,-1.64,0.25,0.5
-5,-5,0,0,16.492227,1,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,165.316907,183.299856,138.13481,1,8,-0.1559,0.2733,37.8954,49.1317,3,0.9834,0.6319,0.239,0.0654,0.0529,0,-5,0,-5,5,6,-1.73,-0.3,-0.29,-1.38,-1.32,-9,-1.44
-5,-5,150.804899,134.924336,118.421657,1,6,-0.2955,0.2961,35.8056,47.6829,2,0.9714,0.5205,0.1768,0.0582,0.0512,0,-5,0,-5,2,3,-1.73,-2.37,-2.92,-1.86,-0.89,-0.16,-0.28
-5,-5,0,0,53.55493,1,3,1.4742,0.2479,58.0741,66.054,5,1,0.9949,0.9923,0.7744,0.2678,0,-5,1,-5,5,7,1.76,1.31,1.62,0.55,-0.89,1.83,0.16
-5,-5,48.449823,48.840955,48.450703,1,8,-0.4923,0.2701,32.7757,45.64,2,0.9402,0.3548,0.117,0.0512,0.0496,0,-5,-7,-5,2,2,0,-0.07,-0.29,0.57,-0.33,-0.61,0.16
-5,-5,99.789783,113.337873,107.223912,2,8,-0.2285,0.2423,36.8196,48.3786,3,0.9779,0.5758,0.2044,0.0614,0.052,-8,-5,-8,-5,-8,-8,-1.13,-7,-7,-7,-1.32,-0.46,0.56
-5,-5,0,272.658484,239.417231,1,8,0.9532,0.2588,51.9574,60.646,5,0.9998,0.9765,0.9345,0.3949,0.1184,0,-5,0,-5,4,6,1.76,0.27,1.62,0.66,0.15,1.83,0.16
-5,-5,700.734306,0,540.587899,2,8,1.0811,0.2471,53.4751,61.9738,5,0.9999,0.9837,0.9601,0.4918,0.1418,-8,-5,-8,-5,-8,-8,1.16,0.34,0.1,1.35,0.71,-1.3,-1.51
-5,-5,0,38.808579,22.80649,1,2,1.2357,0.2513,55.2974,63.5784,5,0.9999,0.9896,0.9788,0.6128,0.1803,0,-5,0,-5,4,6,0.6,0.9,0.1,1.34,-7,-7,-7
-5,-5,309.942914,287.922929,284.544223,1,8,-0.4152,0.2611,33.9645,46.44,2,0.955,0.4183,0.137,0.0536,0.0501,-8,-5,-8,-5,-8,-8,-1.73,-0.3,0.1,-1.31,0.1,0.25,-1.05
-5,-5,135.705894,0,141.068609,2,8,1.6674,0.2322,60.2705,68.0598,5,1,0.9972,0.9967,0.8657,0.3682,0,-5,1,-5,4,5,0.6,-0.13,0.95,-0.18,0.84,1.53,1.31
-5,-5,770.383512,574.531351,435.649318,1,8,1.1133,0.2586,53.855,62.3073,5,0.9999,0.9852,0.9649,0.517,0.1488,0,-5,0,-5,2,3,0.6,0.9,0.1,-0.36,0.71,1.42,0.15
-5,-5,25.621337,0,18.021874,1,8,-0.2132,0.2649,37.0478,48.5369,3,0.9792,0.588,0.2112,0.0622,0.0522,4,-5,0,-5,2,3,0.6,-7,-7,-7,0.1,-0.05,0.54
-5,-5,0,538.369689,366.615081,1,8,1.6796,0.2654,60.4063,68.1863,5,1,0.9973,0.9969,0.8703,0.3754,0,-5,0,-5,4,9,0.6,0.9,1.34,1.72,0.28,1.53,0.09
-5,-5,575.107223,535.66905,341.064351,2,8,0.9357,0.2483,51.7484,60.4638,5,0.9998,0.9753,0.9301,0.3823,0.1156,0,-5,0,-5,4,13,1.16,1.31,0.1,0.93,0.66,-0.05,0.16
-5,-5,136.303294,95.883931,57.996281,2,3,0.0966,0.2614,41.4146,51.7529,3,0.994,0.7862,0.4,0.0862,0.0576,-8,-5,-8,-5,-8,-8,1.76,1.31,-0.83,-0.66,1.69,1.1,0.93
-5,-5,138.657708,136.189336,100.690332,1,8,0.4676,0.2759,46.103,55.6047,4,0.9987,0.9126,0.6954,0.1539,0.0713,0,-5,0,-5,2,2,-0.57,1.31,0.1,-0.26,0.71,-0.05,-0.95
-5,-5,33.868135,0,30.749732,2,5,0.2414,0.2427,43.2884,53.2558,4,0.9967,0.8473,0.5145,0.1054,0.0617,4,-5,-7,-5,2,3,0.6,0.34,0.1,-0.27,-0.33,-0.46,-0.35
-5,-5,214.380521,234.559783,194.162344,2,6,-1.8554,0.3353,18.4288,31.4887,1,0.0918,0.0245,0.0298,0.0376,0.0463,-8,-5,-8,-5,-8,-8,-1.73,-0.3,-2.92,-1.01,-7,-7,-7
-5,-5,184.363775,0,123.240933,2,6,0.4981,0.2657,46.4758,55.9209,4,0.9989,0.9192,0.7177,0.1628,0.073,0,-5,0,-5,2,4,0.6,-1.33,0.94,-0.84,0.1,1.53,-0.6
